transaction_number	last_time	receipt_transactions	sent_Variance_BTC	min_sent_transaction_id	total_sent_BTC	label	balance	max_sent_transaction_id	sent_Variance_USD	total_sent_USD	gs_checked	min_received_amount	activity_w	activity_d	total_received_BTC	min_sent_amount	received_Variance_USD	first_time	sent_counters	total_received_USD	max_received_transaction_id	transaction_fee	received_counters	watchback_checked	transaction_fee_Variance	received_Variance_BTC	activity_time	total_output_slots	payment_transactions	total_input_slots	address	max_sent_amount	min_received_transaction_id	max_received_amount	lifetime	flow_ratio	fan_ratio
2	2016/10/3 6:59	1	0.0	ba030bf09c6824b25f97d6ad39e30bdc2cd88dd843069ab3209cec2aa07d65d4	30864040.0	1	0.0	ba030bf09c6824b25f97d6ad39e30bdc2cd88dd843069ab3209cec2aa07d65d4	0.0	188.7644686	1	30864040.0	1	1	30864040.0	30864040.0	0.0	2016/10/2 13:46	2	188.4866923	d4fbaf42e9b8156cf36ebacc2c81b6b8079889bd4a2c7cafd7ce51d42ad3b3b2	10293.51852	2	-1	0.0	0.0	2	1	1	1	1F4yn3gLAGDXfg5mS1w4oUmN9HhRXHrHqN	30864040.0	d4fbaf42e9b8156cf36ebacc2c81b6b8079889bd4a2c7cafd7ce51d42ad3b3b2	30864040.0	62002.0	1.0014736652326692	0.9999900000999989
2	2019/6/22 15:30	2	0.0		0.0	1	53852094.0		0.0	0.0	-1	5022900.0	1	0	53852094.0		5514934.239	2019/6/22 13:35	3	5773.859962	1ba0309c39579b551adf66181fd44d10149865edb314321a6aa0a5f7e04a00cf	0.0	0	-1	0.0	480000000000000.0	1	2	0	0	14kCwWrLQNv4JZPUeYeJ1R8RxysY8MAUBn		796c3102e7c82d155be65b0f5bba50f05923738f3fde0a8e9a40e9cc4bb09956	48829194.0	6877.0	0.0	199999.99999999997
7	2023/12/3 21:34	4	794000000000000.0	7520921dd84ba2028629e3ff49f1958df218a659eb70e7c5ff9c08ae4afddc6d	156928679.0	0	0.0	54deaa2949818e22919e67638b5f52fbd167c6d2843b08eb97a6841dff12e8d6	144796463.0	56998.10597	-1	70000.0	3	3	156928679.0	70000.0	179525067.9	2017/12/5 19:51	12	56998.10597	0609e2dfd819ee9234e073b9617c19c895660117bc6d7192d776af21ba9c2c59	165500.836	8	-1	193202511.4	1030000000000000.0	3	4	3	4	18xM1Zi8FdsjX1bAgujKAjVNsFaLZNiEw	71888679.0	edf39e3b4b1f678a098f52439d85f823a2acf3b063b3b5df9e30c228dd8d9eb0	71888679.0	189135823.0	0.9999999998245556	0.9999975000062501
2	2016/3/18 15:19	1	0.0	c30b23289b001efcc5ca283a2243954fa67e85e3619d7cb4980a9aa8e263e975	400000000.0	1	0.0	c30b23289b001efcc5ca283a2243954fa67e85e3619d7cb4980a9aa8e263e975	0.0	1632.8	1	400000000.0	1	1	400000000.0	400000000.0	0.0	2016/3/18 7:10	1	1632.8	864c8ea5e8df629f63490beb8d953806b9d2687bc3f4e1d01f9bef3d409a8516	1178.45	2	-1	0.0	0.0	1	1	1	1	1EUdsRr1Ca9ntwwbCUXJicsTgfyAmSdch7	400000000.0	864c8ea5e8df629f63490beb8d953806b9d2687bc3f4e1d01f9bef3d409a8516	400000000.0	29321.0	0.9999999938755513	0.9999900000999989
2	2016/3/21 11:03	1	0.0	808760f51c7ee0fd2167b21bc8465523ead244125f309b950a9bc5ebad3e99b0	50770372.0	1	0.0	808760f51c7ee0fd2167b21bc8465523ead244125f309b950a9bc5ebad3e99b0	0.0	208.7169993	1	50770372.0	1	1	50770372.0	50770372.0	0.0	2016/3/19 1:01	1	207.4985104	babcc2af96be7a204fc337aee8995bbd6aefe7a9c8777b9c9b5cbe2db24bb656	775.1351351	2	-1	0.0	0.0	2	1	1	1	1Q8ER4Luvo6DEoMtXX6qYNCfXSsQiqsPJt	50770372.0	babcc2af96be7a204fc337aee8995bbd6aefe7a9c8777b9c9b5cbe2db24bb656	50770372.0	208944.0	1.0058722293424123	0.9999900000999989
12	2022/6/17 0:21	7	1310000000000.0	c6fc74e0a90fbcf0dffa10f625e8d25b85caf3512be900db1d1012fa9691b855	10330985.0	1	0.0	97252e0471da70e064572016a523af8d4179b6d553d452c384ee77c3d57c89a9	66444.2781	2618.185049	-1	158780.0	5	5	10330985.0	158780.0	57878.19183	2022/4/30 21:04	12	2569.200672	2926059dbb03df0d3fd0a584a58c6a0fd30f3423d9a94b061dece90252bde2f4	3968.5	14	-1	179977.5306	1390000000000.0	10	7	5	7	bc1qpxuuprkkf45gmzdasxfgdnxj5t3x2h975637ea	3976518.0	b57a489ba3f4ba8ac070434aae02d19b3860b7839c7f86b05da6ec98770f252f	3976518.0	4072627.0	1.019065994861043	0.9999985714306123
38	2021/12/12 0:38	29	587000000000.0	332d80b8c3e4ec81ffb80f4c53eeb5fef75543c01c71efb6e6911b6e44d38706	9357379.0	0	0.0	17eac91658ff6d2f927838e3e6ce5c7a62b3f70803d4df705738f48095cff684	187235.3058	5053.480789	-1	53991.0	15	7	9357379.0	53991.0	136182.6064	2021/11/25 22:30	29	5107.126734	db423c9f5491b609f3e38405db1f75fa23bbc16def4707604316e041f889f94a	118052.4167	45	-1	745876.4687	389000000000.0	17	29	9	29	1B9sa8krSNfXDGhUh5tDbdmhgJ9bcnwqM	3578458.0	fb7f3229cad34483e589617da5a46df0ccf9928321d7f6bfbb601f18ca183e93	3578458.0	1390048.0	0.9894958637823068	0.9999996551725328
13	2024/3/8 8:56	7	28300000000000.0	d3dd37b41214dc08b70a27a95b1a331aac7ac0ded988ab3efe876c1b9332eaf4	47718224.0	0	0.0	af7412eae62197a4261fa35e840bb0e94ca193d134c3cd5284d5c64ccb40a3a3	101711.5951	3432.443911	-1	124774.0	5	6	47718224.0	124774.0	78382.14994	2018/1/2 0:02	11	3610.113609	dca4922243878b948745f33a963aee29fed045a0a64f388c269b4c5e84ea364b	35399.85671	12	-1	42312539.97	18800000000000.0	8	7	6	7	1bLzBDkk8cfhsGzBjmX9GDvt1ygbRY8Be	15500000.0	574b2b2c406370b0b3074fc9363125c687550e190b0305597cfe80f5aa3b63ac	15500000.0	195036804.0	0.950785563350437	0.9999985714306123
1	2022/5/4 17:52	1	0.0		0.0	0	232265.0		0.0	0.0	-1	232265.0	1	0	232265.0		0.0	2022/5/4 17:52	1	92.1813332	31a451782da4f6c1f9303e47777fe023a76fb2eca20cc3026e10614d45566a29	0.0	0	-1	0.0	0.0	1	1	0	0	bc1qefhdx4alv0n8t75acgdc3dwac3rs3hlca2qwgh		31a451782da4f6c1f9303e47777fe023a76fb2eca20cc3026e10614d45566a29	232265.0	0.0	0.0	99999.99999999999
2	2024/2/18 23:01	1	0.0	8442aa787979a63a6686c5f0f66801a51bcd0eafe485c6036131171c9fcd81da	115942264.0	0	0.0	8442aa787979a63a6686c5f0f66801a51bcd0eafe485c6036131171c9fcd81da	0.0	60426.20944	-1	115942264.0	1	1	115942264.0	115942264.0	0.0	2020/12/29 19:36	1	31740.35419	1f4f991d73f097c671cd9576c1ed647f1a19816ddf26284f0c7b7f0a09e32a8d	2310.0	2	-1	0.0	0.0	2	1	1	1	3NHEjb8Mt8XC3T3cEobe7aUqqTzeGmp1Nr	115942264.0	1f4f991d73f097c671cd9576c1ed647f1a19816ddf26284f0c7b7f0a09e32a8d	115942264.0	99026717.0	1.9037660720244893	0.9999900000999989
