address	label	balance	total_received_BTC	total_sent_BTC	total_received_USD	total_sent_USD	transaction_fee	transaction_fee_Variance	transaction_number	payment_transactions	receipt_transactions	first_time	last_time	lifetime	total_output_slots	total_input_slots	activity_w	activity_d	activity_time	max_sent_amount	min_sent_amount	max_received_amount	min_received_amount	received_Variance_BTC	sent_Variance_BTC	received_Variance_USD	sent_Variance_USD	max_sent_transaction_id	min_sent_transaction_id	max_received_transaction_id	min_received_transaction_id	sent_counters	received_counters	watchback_checked	gs_checked
111KvKxkeia8NeKMzqEDqnGm1v49Ncp3j	Blackmail Scam	0.0	180000.0	180000.0	17.25058	129.77838	19843.0	0.0	5	1	4	2020/5/14 5:54	2024/3/11 22:52	120761874.0	4	4	2	1	3	100000.0	10000.0	100000.0	10000.0	1425000000.0	6668750000.0	13.02238777	3466.603122	694c459ee8303cba149430b91a7d0eb7989b006d1d35bd80430655329d7414a2	694c459ee8303cba149430b91a7d0eb7989b006d1d35bd80430655329d7414a2	79fe3a0d1e897b4e4ca9a393c3ecf35d4a4ae6f4480f2667789c28137a2f8435	af27465ae4eab687cb69c2308d433eaf0945e144a0f8e1951afbf397f7425d1f	7	4	1	-1
11212qhtzpz2SugohG3xk1FCWY9U5TG8mg	Ransomware	0.0	15898625.0	15898625.0	9055.109565	7046.916086	13301.33333	6712262.247	6	3	3	2021/11/18 22:25	2022/1/21 0:17	5449907.0	3	3	1	3	4	9189013.0	2068759.0	9189013.0	2068759.0	8670000000000.0	8670000000000.0	2811365.33	780966.4825	ff73077e16d997a5993f8f6586c160187898918c248c5c534608bd961186a4c3	6e31d7d70b8eebed6aff4acbe8d413fadbb9a62f42796e8e7f987a89a7f8906d	b4d52e2a3a683ae12030e550bff70e59496d758f35ac5b1dc83d290261a6be59	bd310a19ce907b484929ae6db054eefedeb68d09500f7f8de868186bc566405b	7	6	-1	-1
1122NYbAT2KkZDZ5TFvGy4D2Ut7eYfx4en	Ransomware	36000.0	48587833.0	48551833.0	1774.458756	1661.540829	23324.28571	0.0	8	1	7	2018/12/5 9:27	2023/5/31 9:07	141521976.0	7	2	6	1	7	24627933.0	23923900.0	24627933.0	1000.0	120000000000000.0	124000000000.0	158719.1937	145.1231896	f4c2619d22fce039908cc917ef85a1bf5c1b5b5e98a95393603996cbead6672f	f4c2619d22fce039908cc917ef85a1bf5c1b5b5e98a95393603996cbead6672f	2bc8992b4dc4097ac80a50d6ab6201fb390c4ff0155110e74c4711459d8a6580	19c7cd95265ac610418ada180d763f5d5cd269616ceba7767b732ab93ba76e6c	7	2	1	1
1123Hubtw2CXGqFKvvozUcbWe6SbTT5ydg	Ransomware	0.0	150062697.0	150062697.0	67655.89351	67442.65822	1035111.0	57609368.7	302	98	204	2021/1/23 2:00	2022/8/19 9:56	49535756.0	204	204	111	93	138	3974581.0	1706.0	3974581.0	1706.0	540000000000.0	897000000000.0	102756.2252	167799.9849	6d4e9dc5565cd6d5009866303d26316f847accff26d65e0f911bf66f141904d6	87c35e713cc2a592d88edcda475cfb0e46140b566ba67194e1e793e6806cecc6	5814b5c462156a38df5d1a86aa657da66d6e420e0f25a29d441d8dd5d0f85dfa	b3166166f42fee47f08fd94e4b216ee4c3b6ae52692465bed854992373c31042	601	204	-1	-1
1128Ev6iMRQ25SuGAnrekSqbW8aQpX5PZQ	Investment Scam	0.0	21000000.0	21000000.0	518.544	469.014	49719.40956	0.0	4	1	3	2017/6/23 16:44	2017/7/17 8:36	2044326.0	3	3	3	1	4	10000000.0	1000000.0	10000000.0	1000000.0	18000000000000.0	10400000000000.0	10738.40617	5175.128394	6228dab2c66bdd769a49889201f51366e0b7e78d63373bc72f5229ec48b23322	6228dab2c66bdd769a49889201f51366e0b7e78d63373bc72f5229ec48b23322	5deb5a5b69d984cf21081e890412f86ccd6b85a1a70b0b8f6057cb0159a0fcac	0546f2545393d706b3b77ec251be93af12038dc28eefd5dc0d27acea9f0613a0	3	3	-1	-1
1129TSjKtx65E35GiUo4AYVeyo48twbrGX	Ransomware	0.0	200000000.0	200000000.0	1156.0	1158.8	8998.046512	0.0	2	1	1	2016/8/25 8:47	2016/8/26 9:20	88373.0	1	1	1	1	2	200000000.0	200000000.0	200000000.0	200000000.0	0.0	0.0	0.0	0.0	cd81dacd4c4c3c2e365657db125a7e141b50501c65c42c77d1d688b294f1fec2	cd81dacd4c4c3c2e365657db125a7e141b50501c65c42c77d1d688b294f1fec2	2c9de8b00a7caf6e149b758fdbd5a01ac07817bcebcfbb89ca0f6bf2d59a36a9	2c9de8b00a7caf6e149b758fdbd5a01ac07817bcebcfbb89ca0f6bf2d59a36a9	1	2	-1	1
112AmFATxzhuSpvtz1hfpa3Zrw3BG276pc	Ransomware	0.0	50000000.0	50000000.0	211.05	210.05	4080.128571	0.0	2	1	1	2016/4/5 17:35	2016/4/7 11:18	150189.0	1	1	1	1	2	50000000.0	50000000.0	50000000.0	50000000.0	0.0	0.0	0.0	0.0	664846e0ee7a3ee639c6aa9151dad994fd12283e327af0c36df6666e09009b99	664846e0ee7a3ee639c6aa9151dad994fd12283e327af0c36df6666e09009b99	44d7c3be12e5b964801c41526c2d83c0b91a6dc9181fdabd25023bcc33ec70e9	44d7c3be12e5b964801c41526c2d83c0b91a6dc9181fdabd25023bcc33ec70e9	1	2	-1	1
112C9uQe93B9DFGjW3ZBUT5ab3SqbhjfXs	Giveaway Scam	0.0	328335472.0	328335472.0	66174.04437	66174.04437	8686.0	281228.2222	12	3	9	2022/11/2 0:59	2022/11/2 13:48	46131.0	9	9	1	1	1	300000000.0	9752.0	300000000.0	9752.0	8700000000000000.0	1.58e+16	353467534.4	643499859.9	944badd4ba0ebb9f2ab58ce7220c270308511ed94cd94f6a9a916deb9692d5fb	c9df5b81b0ad05cc5c91949b0150562815da6828da926d500503d07e8761a56b	1065fbfd1b29ff889bbdbe3f84cd741cba169f23cecafb1662dfc9490096534a	d003a5b0540f1086832e0aa0f06662903ff0de6f5ba1f6bbb9ef1ec0056a991b	11	16	-1	-1
112EfJCzXU5fZni8Nuq6YRrBnvcm95HrPj	Sextortion Scam	0.0	6944828.0	6944828.0	4026.568703	4088.594893	30873.5	5118524.679	9	3	6	2024/2/20 15:30	2024/3/14 19:51	2002831.0	7	7	4	3	6	2360599.0	62135.0	2360599.0	62135.0	587000000000.0	1290000000000.0	227847.5577	333060.9826	281edbb8a5a4542d089ce4ddc0c4f2dfc66d6995aff5a738c549a6f9b5d52ef7	51dec109209f2652d4e645fcb9532cb5828f10ecfd71c2f402c09920140bc4d8	d11a7df21af4ef221e80c48decd31803039d8e1e02f62886e601eb3d04ed5347	d05d5d80e5ad9189cc79ea2adb98ce5045f9f5b9c4103bb8184c14a38ef9f4a8	7	7	-1	-1
112FWGSL2q7rVTgabQuJbo3WwKid8dMEtj	Darknet Market	161923.0	55515237.0	55353314.0	15160.82667	15178.15908	374893.7241	13558601.66	245	93	152	2020/7/21 2:34	2024/4/18 11:59	118142708.0	155	154	133	90	193	3500000.0	1046.0	3500000.0	1046.0	275000000000.0	361000000000.0	14629.79308	17318.35941	23aa225098e852b5b8c04850f98a2b0958526eaea2fe303b41e01db4f29e2336	d434e1f6f1b4ba57223226201cd02e2d52b1f6464bbd2f0e777db2f02cc31441	6c56f4b5b98f1b0fc9e115dfacbacef5863aee57f2a57799133d33504afc9930	683c32eca48e722e48e46d6867eea457036ca06b4d16af9a08cd8f2fd650f5a4	411	184	-1	-1
112L4hWpmCC1hCcN1CAf8ccJDdhLukrQuW	Blackmail Scam	0.0	2064400.0	2064400.0	406.6475764	723.0953236	11400.0	0.0	2	1	1	2020/11/30 23:07	2021/6/30 3:02	18244528.0	1	1	1	1	2	2064400.0	2064400.0	2064400.0	2064400.0	0.0	0.0	0.0	0.0	4eb270d352229555fa3f02db64440aafd0e48d3f2f6dcbb459bc8840446b74bf	4eb270d352229555fa3f02db64440aafd0e48d3f2f6dcbb459bc8840446b74bf	3c43463c8916915b2cd0d14f1db1112c987a1aac11c287959118ff3c89cb2a08	3c43463c8916915b2cd0d14f1db1112c987a1aac11c287959118ff3c89cb2a08	1	2	-1	-1
112MTbxMbZkotrzG5gVc4j3wi2CJwgNKqM	Blackmail Scam	0.0	188471900.0	188471900.0	6712.426719	6712.426719	1582.0	0.0	2	1	1	2019/1/23 23:16	2019/1/23 23:18	121.0	1	1	1	1	1	188471900.0	188471900.0	188471900.0	188471900.0	0.0	0.0	0.0	0.0	7209063513b8ce2cde017ae49c9443f3702b3257df33e19c8280c803bb5605aa	7209063513b8ce2cde017ae49c9443f3702b3257df33e19c8280c803bb5605aa	91c1f584a07914f64ed033fc677b171871343fe55fca468208d012a8ae706c44	91c1f584a07914f64ed033fc677b171871343fe55fca468208d012a8ae706c44	3	1	1	-1
112U7fgZkUKFZxcVZALZdbE42ZM8tPAc8P	Impersonation Scam	0.0	1000000.0	1000000.0	399.702	399.702	13930.0	0.0	2	1	1	2023/12/3 0:49	2023/12/3 2:25	5749.0	1	1	1	1	1	1000000.0	1000000.0	1000000.0	1000000.0	0.0	0.0	0.0	0.0	4e407e22155c37a53290b6eb853534512016706ba51f652f7a092cfb424e2701	4e407e22155c37a53290b6eb853534512016706ba51f652f7a092cfb424e2701	ac02f5b4cca3389602c132c91c2e1d0132acf5de5116f9dfa720f6f0524c0a7e	ac02f5b4cca3389602c132c91c2e1d0132acf5de5116f9dfa720f6f0524c0a7e	1	1	-1	-1
112WaUPh5ir36uQoRwpYqbz19qJtCb5sBp	Bitcoin Tumbler	0.0	22136788.0	22136788.0	2030.773687	2078.0467	48010.0	0.0	5	1	4	2020/7/20 4:49	2020/7/21 2:34	78303.0	4	4	2	1	2	7107315.0	1117218.0	7107315.0	1117218.0	6510000000000.0	19400000000000.0	54120.92994	170516.2443	f8df81fe6ce88455ad7e54c55be7cf209ee4fb9ef74ca2a8d91fbebef98b785f	f8df81fe6ce88455ad7e54c55be7cf209ee4fb9ef74ca2a8d91fbebef98b785f	7089a40f6a1ce7d40fd66000401b56d4908969c72c5eecd817559f02c6b2c905	1745bea933d516d9bec0499353a1b435d26d6d9897b6f2bd6088fb4a8a13e995	19	4	1	-1
