address	label	balance	total_received_BTC	total_sent_BTC	total_received_USD	total_sent_USD	transaction_fee	transaction_fee_Variance	transaction_number	payment_transactions	receipt_transactions	first_time	last_time	lifetime	total_output_slots	total_input_slots	activity_w	activity_d	activity_time	max_sent_amount	min_sent_amount	max_received_amount	min_received_amount	received_Variance_BTC	sent_Variance_BTC	received_Variance_USD	sent_Variance_USD	max_sent_transaction_id	min_sent_transaction_id	max_received_transaction_id	min_received_transaction_id	sent_counters	received_counters	watchback_checked	gs_checked
1121mGf17KMU31v1pnuHjh6UnpmbB5zLzc	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
1122EEkctCbLS1p5fqoqxA8MZuXQ1iNpbp	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
1122wiuDjkiGXyBwdXye8wCsU13bs4Kncr	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
11249pPgTz55fLeDuTtJYuSfYLSuj9NSzj	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
1124AfD98vEZjFjeWP95QEKwJJQArMLjP9	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
11256pq3sd1DZXEhEjqYLyHne6dVRZGZ59	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
1125LnvydFZuerka98JNKCGZ6f5BCDkW6A	Ransomware	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
1126dpPXcx6un2vGr7Zu6WF9Yj5iJKzNJt	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
1127mPp4MQ4uc2msLPTPXWp5SkoYw5ah11	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	-1	-1
11282rwTdTkL1xUyC9yvAKCTjCPbdgTvq1	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
112HMkb8MYqcvMSHbfevygQJx1SRM4MWia	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
112JJFgc3uijtyPf6RXVg21WTeYtuydWEM	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	-1	-1
112MxgQfm3awZQ2MSiPtz7ZWc8dUjJPQfn	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
112Utd68BUfZHZNumUnWXoK23zVfxTdXpt	Ransomware	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
112Vx2HBAehVBof7iwKPkj59bpTTuqkWha	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	-1	-1
112ZLpbq9RB756KFSanBoemLT7ga6HSErL	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	-1	-1
112ZzPGaMkjyqWDvGjihWn4AN81PVQ4zom	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
112aRv6avTkXbMHE3SDRXTMVCufE4VS8D9	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
112bWnCqHLr6LKWkgZ1XyNUfiQUxRy596y	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
112hjYSNkvueQBotkL3UusR8BhZvv9m3Cz	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
112mfJanmDC94r5Gh5UMJk6nBeqCXEHKVR	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
112qr2rawzDfWCXKaHfuw8rA7QqPpaja8U	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
112uLqAj15nMrr8YmSsWVdcGoPB5HpisZn	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
112xKcxRCCriqupCZwnM4R6HETRF99G36h	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
112yiTi4Ppn9YWLi4hnqEku6ERn9RfbVFc	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
112ypWivGydYGxjPcyWYseEad7mFrxpeky	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	-1	-1
11328F66Bf1BE4BVxofdoAo1C95yieN3bh	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
11374aPp1hfke5BT32LxhurF36m4wpjkag	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
1139YHtRQfaNY7uEffFwQCf52Tm5cqzJgu	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113AQapiJHGCvBWcZMREFdVRNjZuUMeh5L	Ransomware	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113AxjZ2dgN2tAko8b23qsAVbsTJ74nyYE	Ransomware	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113FfLvLv2y94N6Qzq3a4KX1RE8Ykzr9am	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113FytA8RD4rQM3gxVZ92jLqF3L9o41R4r	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	-1	-1
113H6tn35GCsH8ZRDJz651mSSyXkSTVqvC	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	-1	-1
113JP9oH7Ga9qq2okoqStbp5hriRdnCEbz	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113JT4u7fw3Vh3kTiotUtCiyingXqJFmxg	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	-1	-1
113JhWyNsnEHH9au9Hj6t2TEYuP9PtMc3g	Ransomware	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113LdghUjwKR8CZ3vfnSnVnsdnKtKdPNyJ	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113Ltf9CLKZE56qm6W5qdhzhBfMQPYEo1t	Ransomware	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113MoG897ory6bzmQjp1J8PG6nRgivuTVD	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	-1	-1
113NSceBKeNy1moQ9b6qNX8k9h8BXJeqNG	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113PUiYdHS2vfx19p7qYsxV96ob4UvuTFC	Investment Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113RktQLJ5cwJ5UuNC3DXzwos559DLLreP	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113S4QMHkFjmKwky6WE1JyPVeMcpYnkE8z	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113X9QcuuevmVYMbwyJTVanQ6oJUjNvFEF	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113aFpcJBgzoVvDyxvBZyMRQKEYzD5Cx8v	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113adQBZ6eHtUvBTaT8FDVN9prhk7zsG4B	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	-1	-1
113fNc7KvJigtrBZh9xwp4g6sfsv5iaGMN	Ransomware	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113fcpUMGGY3Dbcf3Dop1bLMAtbuodUHci	Ransomware	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113gbCSQboZyVXq7Q8xfeyFmJrbzDETs8M	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113jHvNEydswkC8h6tWmY11pHs7gMbHLTp	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113jfQ7s63T7wVrbnwpQ7JKxMku9a3scPc	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113nHPYFLAdoxj1rW4ZeUxob1tnJzUHmBo	Ransomware	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113nWtdXniBWaT9aNzJgVFogwJj5UALuhg	Ransomware	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	-1	-1
113oDh7ikrbMMdF6UVwNbRvMcgBUDyMDf2	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	-1	-1
113pRzaT8YTFmNjBPrA7iBEgBE4A3ceafR	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
113vooUGjtHFecKGAAhxhEpXt9gXFVArzm	Ransomware	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	-1	-1
1142oZKMRoqjVGkaznJbdRs7BbnngVtM5p	Ransomware	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	-1	-1
1144EzPDrGWke2jcTuZNKojPY7bLDXct5u	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
114DDCPFFLTC6faQJvoznb2opT8kpo7e2F	Ransomware	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
114Kc5idMTmpHdfsokHyWG5gbkK2Ag3ghs	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	-1	-1
114LpxmWwL36TAW2qhApSdboB1p1URZu4K	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
114NCLdPWBZYtqC3PyDfMzuKn9FeVpzzbf	Ransomware	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
114NJnEkedsCUDYyvAJ941xvmk8GHUCdac	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
114X9RYQxW8aRiY6EPWXgvJ599hfTiKt9X	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
114YJsgqc9fqiHGTsaUN6216e8M2SGR5jn	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
114aQ9yzFJ5RLRb9DAsHjxQrWEoCe2D6Xr	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
114bDJz75GWsff9RZb4gcURhUeHrmSaywp	Ransomware	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
114buJxnvsJeELEH7Zth6dFmxhCxYTiPti	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	-1	-1
114d1oZwJwZaSpdP3LJtXCb27Ubfmvf4zz	Ransomware	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
114hBFVx3mpZ3zPYNR5TGNgqFTH9mE8Q2W	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
114pX91i6Qw5NKJrQeSrJvVpHWVjo9cFT1	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	-1	-1
114ug3m5irJgRPc6nBQPytk9oxdfbwn3gd	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	1	-1
114vHR5SDqqX7DAtYcFe7hmCZD4Jsad3jH	Blackmail Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	-1	-1
114vn4Yo7u8LqiFaMD8vtXTqbKnWExX7zj	Sextortion Scam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0				0	0	0	0	0					0.0	0.0	0.0	0.0					0	0	-1	-1
